sourceRow,website,translationStatus,compileStatus,exactSpace,entropyBits,reachableStates,countPayloadBytes,peakRssBytes,compileMicros
169,gta5-mods.com,translated,SUCCESS,14230403961260236220506443581651184908680564041500367167417706820898712988823451461562368878931231194600886509223121419278253305282049735850746952255698801345684544325410185351468196806123506094389266334625827336505452737613188432117161202233330062890625,840.9567846230146,129,19652475,58212352,679090.187
173,mail.ru,translated,SUCCESS,12987930716685978204438138512147879490757688938557941795845684456698430134390625,262.80949108989125,41,214756,110592,23332.478
176,rambler.ru,translated,SUCCESS,1901793390868775616473017978775254981057412308440661152696154080,210.20883049951783,252,654400,6344704,79752.453
179,fb.ru,translated,SUCCESS,1957722449314639324001767020679119195924659428048007023884390625,210.25064622324365,33,91809,110592,11364.647
181,znanija.com,translated,SUCCESS,3792333218144715689214286733276153973356796205513695361373369020859784852595066624036316469616424830959697422432772648884390625,420.486025689834,65,1310852,6754304,89155.515
182,wildberries.ru,translated,SUCCESS,774642531718728338652028455938445488438117455593107420467238377849581988923168358872370928988412400,328.5024840136187,200,1927820,12472320,148187.816
184,ozon.ru,translated,SUCCESS,1678502284981138890416014999354759820605904877122660028807652546500000,229.96021304823648,36,129067,110592,15489.681999999999
188,xvideos.com,translated,SUCCESS,14230403961260236220506443581651184908680564041500367167417706820898712988823451461562368878931231194600886509223121419278253305282049735850746952255698801345684544325410185351468196806123506094389266334625827336505452737613188432117161202233330062890625,840.9567846230146,129,19652475,58253312,715572.631
189,yaplakal.com,translated,SUCCESS,1957722449314639324001767020679119195924659428047936455062890625,210.25064622324365,33,89603,110592,11150.088000000002
191,wg-gesucht.de,translated,SUCCESS,3792333218144715689214286733276153973356796205513695361373369020859784852595066624036316469616424830959697422432702080062890625,420.486025689834,65,1306054,7311360,82770.74299999999
192,fanfiktion.de,translated,SUCCESS,3792333218144715689214286733276153973356796205513695361373369020859784852595066624036316469616424830959697422432772648884390625,420.486025689834,65,1310852,7217152,85922.19099999999
193,thesun.co.uk,translated,SUCCESS,3230786007847978725323620195144981300880,131.2470808970041,80,52307,110592,9323.506000000001
194,liveleak.com,translated,SUCCESS,216922155048713498504350916418738969077524590365430141150625,197.11093500658174,31,73041,110592,8359.610999999999
195,gmx.net,translated,SUCCESS,12987930716685978204438138512147879490757688938557941795845684456627861312890625,262.80949108989125,41,211902,110592,19236.155000000002
202,immobilienscout24.de,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006188408187890625,657.000827589748,101,7453682,26058752,324372.89
208,entitledto.co.uk,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006258977009390625,657.000827589748,101,7461396,26095616,319903.123
209,lastminute.com,translated,SUCCESS,28034052602738549436590497089977609913841537500000,164.261656964927,26,34407,106496,5192.564
210,wordplays.com,translated,SUCCESS,60510648114517017120,65.71382283996279,11,1485,110592,555.789
212,theguardian.com,translated,SUCCESS,25159113391734056237809610348611528698643665133645092562013237931378359400681721271451494779358246955328824103192266406078991341464055134390625,473.04487055648156,73,2070565,11128832,123006.91699999999
213,hellomagazine.com,translated,SUCCESS,1957722449314639324001767020679119195924659428048007023884390625,210.25064622324365,33,91809,110592,12201.335000000001
216,chaturbate.com,translated,SUCCESS,14230403961260236220506443581651184908680564041500367167417706820898712988823451461562368878931231194600886509223121419278253305282049735850746952255698801345684544325410185351468196806123506094389266334625827336505452737613188432117160565349716025390625,840.9567846230146,129,19636351,58138624,689180.4249999999
221,globo.com,translated,SUCCESS,468219860267835778099350000000,98.56310088161753,16,4346,110592,1345.536
222,mercadolivre.com.br,translated,SUCCESS,3622996024341650240846169344914509390625,131.41237892327226,21,15505,110592,3440.088
224,olx.com.br,translated,SUCCESS,3218480083530512814050256457464586897680,131.24157524185472,284,176908,110592,35004.481
226,reclameaqui.com.br,translated,SUCCESS,3622996024341650240846169344914509390625,131.41237892327226,21,15505,110592,2879.333
230,techtudo.com.br,translated,SUCCESS,468219860267835778099350000000,98.56310088161753,16,4346,110592,1345.8310000000001
235,allmusic.com,translated,SUCCESS,28034052602738549436590497089977609984418096809375,164.261656964927,26,36612,110592,6487.4800000000005
236,sermoncentral.com,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006258977009390625,657.000827589748,101,7461396,26132480,323540.723
237,yourtango.com,translated,SUCCESS,14230403961260236220506443581651184908680564041500367167417706820898712988823451461562368878931231194600886509223121419278253305282049735850746952255698801345684544325410185351468196806123506094389266334625827336505452737613188432117161202303906704517120,840.9567846230146,129,19670007,58286080,688092.7529999999
240,jumia.com.ng,translated,SUCCESS,777635388434868753304038937670673803594895131704996601793597364550835584153940138268343937946890625,328.5080471732007,51,505290,5951488,44799.613000000005
241,eskimi.com,translated,SUCCESS,468219860267835848668171500000,98.56310088161753,16,5175,110592,1529.969
242,jiji.ng,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006258977009390625,657.000827589748,101,7461396,26079232,320144.36000000004
243,remita.net,translated,SUCCESS,216922155048713498504350916418738969077524590365422321890625,197.11093500658174,31,71872,110592,10722.145
246,windowscentral.com,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006258977009390625,657.000827589748,101,7461396,26099712,318192.77499999997
251,namasha.com,translated,SUCCESS,3792333218144715689214286733276153973356796205513695361373369020859784852595066624036316469616424830959697422432772648884390625,420.486025689834,65,1310852,7196672,86895.114
252,tarafdari.com,translated,SUCCESS,14230403961260236220506443581651184908680564041500367167417706820898712988823451461562368878931231194600886509223121419278253305282049735850746952255698801345684544325410185351468196806123506094389266334625827336505452737613188432117161202303898884390625,840.9567846230146,129,19662457,58261504,694994.309
253,mydiba.xyz,translated,SUCCESS,2787713395205989610837629955524823124503453200403888372522242430069624310324844462210691942311163097543360011434046139177727572461392008000,459.90515933981965,71,1859449,10907648,111095.91100000001
254,blogfa.com,translated,SUCCESS,3622996024341650240846169344922328650625,131.41237892327226,21,16244,110592,3615.448
256,emalls.ir,translated,SUCCESS,1957722449314639324001767020679119195924659428047936455062890625,210.25064622324365,33,89603,110592,12371.561
257,moshtix.com.au,translated,SUCCESS,777635388434868753304038937670673803594895131704996601793597364550835584153940138268343937946890625,328.5080471732007,51,505290,110592,41079.558000000005
258,rent.com.au,translated,SUCCESS,3792333218144715689214286733276153973356796205513695361373369020859784852595066624036316469616424830959697422432772656703650625,420.486025689834,65,1313483,6905856,82692.96900000001
259,popsugar.com.au,translated,SUCCESS,216922155048713498504350916418738969077524590365430142017120,197.11093500658174,31,73542,110592,9789.242
263,abc.net.au,translated,SUCCESS,777635388434868753304038937670673803594895131704996601793597364550835584153940138268343937946890625,328.5080471732007,51,505290,110592,41277.587999999996
269,jbhifi.com.au,translated,SUCCESS,14230394612325434394416764217602394628383543532569431812001860381714981771638646225029443899372092605674931368558835483233666247392273772669077062863244328856968006536400961880818520645292571196573883809995720648962899108290270055221405345252149744704080,840.9567836752084,512,77404601,203821056,2752932.982
271,naver.com,translated,SUCCESS,36921706188789058363017091738080,104.86424016440606,108,34144,110592,10367.918
