name,iterations,total_ms,mean_us,detail_json
shamir_split_2_of_3,1000,151.343921,151.343921,"{}"
recover_recovery+computer,1000,257.690454,257.690454,"{}"
recover_recovery+usb,1000,254.171734,254.171734,"{}"
recover_computer+usb,1000,251.462331,251.462331,"{}"
factor_storage_bytes,1,0.000000,0.000000,"{""managedEnvelopeJcs"":474,""manifestJcs"":316,""recoveryPhraseUtf8"":736,""recoveryPhraseWords"":108,""usbEnvelopeJcs"":456}"
password_derivation_and_encoding,1000,75651.098149,75651.098149,"{""characterCounts"":{""!"":345,""#"":308,""$"":318,""%"":301,""*"":303,""+"":311,""-"":311,""2"":331,""3"":365,""4"":353,""5"":297,""6"":335,""7"":358,""8"":330,""9"":335,""="":307,""@"":299,""A"":274,""B"":296,""C"":233,""D"":258,""E"":285,""F"":241,""G"":251,""H"":244,""J"":248,""K"":239,""L"":249,""M"":254,""N"":236,""P"":236,""Q"":237,""R"":257,""S"":241,""T"":244,""U"":222,""V"":271,""W"":267,""X"":255,""Y"":258,""Z"":254,""_"":286,""a"":224,""b"":253,""c"":248,""d"":255,""e"":262,""f"":258,""g"":243,""h"":264,""i"":267,""j"":242,""k"":245,""m"":240,""n"":233,""o"":251,""p"":242,""q"":247,""r"":254,""s"":241,""t"":231,""u"":246,""v"":213,""w"":250,""x"":238,""y"":235,""z"":275},""passwordSpaceUpperBoundLog2"":109.1896054282399,""positionObservationCount"":[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000]}"
cdr_scale_100,100,14.806336,148.063360,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":233472,""loadMs"":4.546011,""loadedRecords"":100,""queryUs"":880.0089999999999,""writeMs"":10.260325}"
cdr_scale_1000,1000,101.786502,101.786502,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":2150400,""loadMs"":30.349152,""loadedRecords"":1000,""queryUs"":846.579,""writeMs"":71.43735}"
unknown_outcome_reconciliation,3000,1222.229258,407.409753,"{""successfulStateExecutions"":3000}"
