name,iterations,total_ms,mean_us,median_us,p95_us,stddev_us,detail_json
shamir_split_2_of_3,10000,429.454676,42.945468,40.761000,50.273000,8.103371,"{}"
recover_recovery+computer,10000,706.845622,70.684562,66.764000,82.432000,11.844932,"{}"
recover_recovery+usb,10000,705.673691,70.567369,66.398000,84.946000,13.888793,"{}"
recover_computer+usb,10000,682.298866,68.229887,66.397000,67.369000,11.536921,"{}"
factor_storage_bytes,1,0.000000,0.000000,,,,"{""managedEnvelopeJcs"":474,""manifestJcs"":316,""recoveryPhraseUtf8"":745,""recoveryPhraseWords"":108,""usbEnvelopeJcs"":456}"
password_derivation_and_encoding,10000,212241.330523,21224.133052,21046.762000,22479.859000,768.180503,"{""characterCounts"":{""!"":3130,""#"":3012,""$"":3063,""%"":3142,""*"":3032,""+"":3071,""-"":3046,""2"":3424,""3"":3345,""4"":3265,""5"":3305,""6"":3283,""7"":3389,""8"":3445,""9"":3373,""="":3156,""@"":3004,""A"":2540,""B"":2498,""C"":2471,""D"":2471,""E"":2521,""F"":2584,""G"":2515,""H"":2521,""J"":2532,""K"":2531,""L"":2551,""M"":2481,""N"":2501,""P"":2447,""Q"":2472,""R"":2487,""S"":2512,""T"":2470,""U"":2448,""V"":2456,""W"":2549,""X"":2547,""Y"":2518,""Z"":2487,""_"":3071,""a"":2491,""b"":2446,""c"":2567,""d"":2453,""e"":2501,""f"":2457,""g"":2400,""h"":2539,""i"":2540,""j"":2584,""k"":2461,""m"":2468,""n"":2433,""o"":2448,""p"":2557,""q"":2503,""r"":2558,""s"":2537,""t"":2446,""u"":2410,""v"":2467,""w"":2537,""x"":2518,""y"":2502,""z"":2511},""passwordSpaceUpperBoundLog2"":109.1896054282399,""positionObservationCount"":[10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000]}"
cdr_scale_100,100,4.169726,41.697260,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":233472,""loadMs"":0.934925,""loadedRecords"":100,""queryUs"":198.058,""writeMs"":3.234801}"
cdr_scale_1000,1000,29.321698,29.321698,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":2146304,""loadMs"":8.294259,""loadedRecords"":1000,""queryUs"":203.988,""writeMs"":21.027438999999998}"
cdr_scale_10000,10000,248.112079,24.811208,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":21315584,""loadMs"":69.06672599999999,""loadedRecords"":10000,""queryUs"":263.735,""writeMs"":179.04535299999998}"
cdr_scale_100000,100000,2707.292485,27.072925,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":213422080,""loadMs"":681.724281,""loadedRecords"":100000,""queryUs"":270.187,""writeMs"":2025.568204}"
unknown_outcome_reconciliation,4000,411.309382,102.827346,97.433000,115.760000,15.276696,"{""outcomes"":[""new_only"",""old_only"",""both"",""neither""],""successfulStateExecutions"":4000}"
persistent_freshness_compare_and_set,10000,7189.353690,718.935369,680.942000,962.211000,129.081489,"{""persistedAfterRestart"":true}"
